buik,krib,brik,brui,bink,ruik,krui,rink,nurk,ruin,brink,bruin,kruin
slok,dolk,klos,desk,koel,doks,doek,doel,soek,does,kolde,oksel,solde
komt,mokt,kamt,mank,amok,tank,nokt,kont,knot,kant,kano,nota,mankt,omkant,nakomt
plek,plak,klap,klep,kelp,prak,park,krap,perk,kale,rake,aker,kapel,lepra,kaper,parel,rakel,klare,kaler
wars,werd,wade,ware,dras,arde,ader,rade,dwars,warde,sarde,adres,dwarse
bolk,blok,blek,dolk,boel,boek,koel,bode,doel,doek,bolde,bloed,kolde
plus,puls,spul,tulp,pust,puts,slop,pols,plot,stop,opus,sult,tops,spot,lust,sopt,lust,sopt,post,pots,lost,slot,solt,stol,soul,pulst,stulp,stolp,polst,plots,lotus
torn,toer,roet,rent,nero,toen,rotje,toren,toner,tenor,joet,jent
vers,save,dras,arde,adre,rade,vader,daver,avers,adres,sarde,rave
inro,iron,nori,nors,pion,pons,prio,rins,rips,snip,snor,sopi,spin,spon,piron,prins,prion,spion
rups,drup,pure,sper,peur,dupe,dure,reus,deur,super,speur,pers
doen,down,nerd,nero,node,orde,rode,rond,wend,werd,wond,word,drone,ronde,downer,wonder,worden,woerd,onder,orden
duts,dunt,duet,tune,sneu,nest,deun,neus,neut,dunst,steun,deunt,neust,dunste
azen,arme,mare,amen,name,nare,erna,aren,mazen,mens,ranze,ramen,armen,maren,maner,mans,samen
